"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PGQ4DYF6","journalArticle","2021","Abinaya, S.; Devi, M. K. Kavitha","Enhancing Top-N Recommendation Using Stacked Autoencoder in Context-Aware Recommender System","Neural Processing Letters","","1370-4621, 1573-773X","10.1007/s11063-021-10475-0","https://link.springer.com/10.1007/s11063-021-10475-0","Context-aware recommender systems (CARS) are a vital module of many corporate, especially within the online commerce domain, where consumers are provided with recommendations about products potentially relevant for them. A traditional CARS, which utilizes deep learning models considers that user’s preferences can be predicted by ratings, reviews, demographics, etc. However, the feedback given by the users is often conflicting when comparing the rating score and the sentiment behind the reviews. Therefore, a model that utilizes either ratings or reviews for predicting items for top-N recommendation may generate unsatisfactory recommendations in many cases. In order to address this problem, this paper proposes an effective context-specific sentiment based stacked autoencoder (CSSAE) to learn the concrete preference of the user by merging the rating and reviews for a contextspecific item into a stacked autoencoder. Hence, the user’s preferences are consistently predicted to enhance the Top-N recommendation quality, by adapting the recommended list to the exact context where an active user is operating. Experiments on four Amazon (5-core) datasets demonstrated that the proposed CSSAE model persistently outperforms state-ofthe-art top-N recommendation methods on various effectiveness metrics.","2021-06","2025-10-16 00:39:27","2025-10-16 00:39:27","2025-10-16 00:39:27","1865-1888","","3","53","","Neural Process Lett","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\6YLGNHKC\Abinaya and Devi - 2021 - Enhancing Top-N Recommendation Using Stacked Autoencoder in Context-Aware Recommender System.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2TRDL3DH","journalArticle","2023","Pughazendi, N.; Rajaraman, P.V.; Mohammed, Muzammil Hussain","Graph Sample and Aggregate Attention Network optimized with Barnacles Mating Algorithm based Sentiment Analysis for Online Product Recommendation","Applied Soft Computing","","15684946","10.1016/j.asoc.2023.110532","https://linkinghub.elsevier.com/retrieve/pii/S1568494623005501","Big data analytics is important in many businesses that use computing applications like real-time shopping and e-commerce. Big data is employed for promoting goods and improve connectivity betwixt retailers and customers. People today frequently utilize online promotions to learn about the best stores to visit in order to purchase higher-quality goods. This purchasing experience along opinion regarding the shopper’s shop can be observing through the customer-experience published across social media. A new customer requires information’s about manufacturing date (MRD), manufacturing price (MRP), offers, quality, and suggestions while searching a shop that are presented by prior customer experience. The product cover or label already has MRP and MRD. The product details have been predicted using a variety of methods, however the information is not correct. To overcome these issues, Graph Sample and Aggregate Attention Network (GSAAN) Optimized with Barnacles Mating Algorithm (BMA) based Sentiment Analysis (SA) is proposed for Online Product Recommendation (GSAAN-BMA-SA-OPR). The data’s are collected from the data set of Amazon Product recommendation. With the help of GSAAN with BMA classify product recommendation as excellent, good, very good, bad, very bad. The proposed model is implemented in MATLAB, its efficiency of the proposed system is examined under performance metrics, such as mean absolute error (MAE), mean squared error (MSE), mean absolute percentage error (MAPE), accuracy, F-Score, recall, precision. The proposed technique attains higher MAPE 23.77%, 65.3% and 10.42% and lower MSE 42.15%, 29.64% and 32.48% comparing to the existing models.","2023-09","2025-10-16 00:39:31","2025-10-16 00:39:31","2025-10-16 00:39:31","110532","","","145","","Applied Soft Computing","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\2KDN4G87\Pughazendi et al. - 2023 - Graph Sample and Aggregate Attention Network optimized with Barnacles Mating Algorithm based Sentime.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q8J3HIEC","journalArticle","2022","Rabiu, Idris; Salim, Naomie; Da'u, Aminu; Nasser, Maged","Modeling sentimental bias and temporal dynamics for adaptive deep recommendation system","Expert Systems with Applications","","09574174","10.1016/j.eswa.2021.116262","https://linkinghub.elsevier.com/retrieve/pii/S0957417421015712","Recommendation systems rely on the historic data of users’ purchases and their feedbacks to profile their preferences and make future recommendations. Most of these systems usually employ Collaborative Filtering (CF) models to analyze users’ ratings and infer the latent factors which represent the user and item features in kdimensional latent space. However, the historical rating data used for recommendations are usually sparsed and unbalanced. Various approaches have been used to resolve these issues by combining the user’s ratings and reviews to better capture the user’s sentiments and make accurate recommendations. Other challenges comprise changes in users’ preferences and items’ perceptions over time. Therefore, this paper presents a new Sentiment Scoring Model (SSM) based on Long-/Short-Term Memory and a combination function that catches the sentiment bias between user rating and review to relieve the sparsity and unbalanced dataset. Next, we proposed an Adaptive LSTM (ALSTM) method that can model the drifting of user and item features to improve the recommendation accuracy. We show the performance of our model on the three real-world rating datasets from Amazon reviews, which comprises Fine Food, Baby, and Cell-phone & Accessories categories. The result shows the superiority of our proposed model over the existing static and dynamic models. The statistical test shows that all the performance gains are significant at p < 0.05.","2022-04","2025-10-16 00:39:37","2025-10-16 00:39:38","2025-10-16 00:39:37","116262","","","191","","Expert Systems with Applications","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\I7FQJ64X\Rabiu et al. - 2022 - Modeling sentimental bias and temporal dynamics for adaptive deep recommendation system.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FRJLDPA7","journalArticle","2022","Paliwal, Shweta; Kumar Mishra, Amit; Krishn Mishra, Ram; Nawaz, Nishad; Senthilkumar, M.","XGBRS Framework Integrated with Word2Vec Sentiment Analysis for Augmented Drug Recommendation","Computers, Materials & Continua","","1546-2226","10.32604/cmc.2022.025858","https://www.techscience.com/cmc/v72n3/47476","Machine Learning is revolutionizing the era day by day and the scope is no more limited to computer science as the advancements are evident in the field of healthcare. Disease diagnosis, personalized medicine, and Recommendation system (RS) are among the promising applications that are using Machine Learning (ML) at a higher level. A recommendation system helps inefficient decision-making and suggests personalized recommendations accordingly. Today people share their experiences through reviews and hence designing of recommendation system based on users’ sentiments is a challenge. The recommendation system has gained significant attention in different fields but considering healthcare, little is being done from the perspective of drugs, disease, and medical recommendations. This study is engrossed in designing a recommendation system that is based on the fusion of sentiment analysis and radiant boosting. The polarity of the sentiments is analyzed through user reviews and the processed data is fed into the Extreme Gradient Boosting (XGBOOST) framework to generate the drug recommendation. To establish the applicability of the concept a comparative study is performed between the proposed approach and the existing approaches.","2022","2025-10-16 00:39:44","2025-10-16 00:39:44","2025-10-16 00:39:44","5345-5362","","3","72","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\4ES5GMB5\Paliwal et al. - 2022 - XGBRS Framework Integrated with Word2Vec Sentiment Analysis for Augmented Drug Recommendation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVA2DQWE","journalArticle","2023","Elahi, Mehdi; Khosh Kholgh, Danial; Kiarostami, Mohammad Sina; Oussalah, Mourad; Saghari, Sorush","Hybrid recommendation by incorporating the sentiment of product reviews","Information Sciences","","00200255","10.1016/j.ins.2023.01.051","https://linkinghub.elsevier.com/retrieve/pii/S0020025523000518","Hybrid recommender systems utilize advanced algorithms capable of learning heterogeneous sources of data and generating personalized recommendations for users. The data can range from user preferences (e.g., ratings or reviews) to item content (e.g., description or category).","2023-05","2025-10-16 00:39:49","2025-10-16 00:39:51","2025-10-16 00:39:49","738-756","","","625","","Information Sciences","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\GTWTKW9I\Elahi et al. - 2023 - Hybrid recommendation by incorporating the sentiment of product reviews.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K3N75N5L","journalArticle","2022","Cai, Yao; Ke, Weimao; Cui, Eric; Yu, Fei","A deep recommendation model of cross-grained sentiments of user reviews and ratings","Information Processing & Management","","03064573","10.1016/j.ipm.2021.102842","https://linkinghub.elsevier.com/retrieve/pii/S0306457321003149","The matrix factorization model based on user-item rating data has been widely studied and applied in recommender systems. However, data sparsity, the cold-start problem, and poor explainability have restricted its performance. Textual reviews usually contain rich information about items’ features and users’ sentiments and preferences, which can solve the problem of insufficient information from only user ratings. However, most recommendation algorithms that take sentiment analysis of review texts into account are either fine- or coarse-grained, but not both, leading to uncertain accuracy and comprehensiveness regarding user preference. This study proposes a deep learning recommendation model (i.e., DeepCGSR) that integrates textual review sentiments and the rating matrix. DeepCGSR uses the review sets of users and items as a corpus to perform cross-grained sentiment analysis by combining fine- and coarse-grained levels to extract sentiment feature vectors for users and items. Deep learning technology is used to map between the extracted feature vector and latent factor through the rating-based matrix factorization model and obtain deep, nonlinear features to predict the user’s rating of an item. Iterative experiments on e-commerce datasets from Amazon show that DeepCGSR consistently outperforms the recommendation models LFM, SVD++, DeepCoNN, TOPICMF, and NARRE. Overall, comparing with other recommendation models, the DeepCGSR model demonstrated improved evaluation results by 14.113% over LFM, 13.786% over SVD++, 9.920% over TOPICMF, 5.122% over DeepCoNN, and 2.765% over NARRE. Meanwhile, the DeepCGSR has great potential in fixing the overfitting and cold-start problems. Built upon previous studies and findings, the DeepCGSR is the state of the art, moving the design and development of the recommendation algorithms forward with improved recommendation accuracy.","2022-03","2025-10-16 00:39:56","2025-10-16 00:39:57","2025-10-16 00:39:56","102842","","2","59","","Information Processing & Management","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\5ZWPFMXB\Cai et al. - 2022 - A deep recommendation model of cross-grained sentiments of user reviews and ratings.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DICT8N9C","journalArticle","2024","Ou, Wei; Huynh, Van-Nam","Aspect-level item recommendation based on user reviews with variational autoencoders","Information Sciences","","00200255","10.1016/j.ins.2024.120655","https://linkinghub.elsevier.com/retrieve/pii/S0020025524005681","","2024-06","2025-10-16 00:40:03","2025-10-16 00:40:03","2025-10-16 00:40:03","120655","","","671","","Information Sciences","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\UHHUENF6\Ou and Huynh - 2024 - Aspect-level item recommendation based on user reviews with variational autoencoders.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NT9NBUEM","journalArticle","2023","Li, Xiang Jun; Deng, Geng Sheng; Wang, Xiao Zhen; Wu, Xiao Liang; Zeng, Qing Wei","A hybrid recommendation algorithm based on user comment sentiment and matrix decomposition","Information Systems","","03064379","10.1016/j.is.2023.102244","https://linkinghub.elsevier.com/retrieve/pii/S0306437923000807","In order to improve recommendation quality of recommendation algorithms, this paper proposes a hybrid recommendation algorithm based on user comments sentiment and matrix decomposition (abbreviate as RACSMD). This algorithm first calculates the sentiment tendency towards the user’s comment through the LSTM algorithm, and then integrates the sentiment value of the user’s rating to increase the accuracy of the user’s actual rating before combining the matrix decomposition recommendation algorithm to improve recommendation quality. This paper theoretically verifies the feasibility of RACSMD through an algorithm example. Moreover, corresponding experimental analysis is conducted on the basis of three data sets of Beeradvocate, Modcloth and Amazon. Experimental results show that the introduction to sentiment tendencies towards user comments can effectively improve recommendation quality of recommendation algorithms.","2023-07","2025-10-16 00:40:07","2025-10-16 00:40:08","2025-10-16 00:40:07","102244","","","117","","Information Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\B4X59LPA\Li et al. - 2023 - A hybrid recommendation algorithm based on user comment sentiment and matrix decomposition.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XVLK5EZL","journalArticle","2024","Latrech, Jihene; Kodia, Zahra; Ben Azzouna, Nadia","Twit-CoFiD: a hybrid recommender system based on tweet sentiment analysis","Social Network Analysis and Mining","","1869-5469","10.1007/s13278-024-01288-9","https://link.springer.com/10.1007/s13278-024-01288-9","Internet users are overwhelmed by the vast number of services and products to choose from. This data deluge has led to the need for recommender systems. Simultaneously, the explosion of interactions on social networks is constantly increasing. These interactions produce a large amount of content that incites organizations and individuals to exploit it as a support for decision making. In our research, we propose, Twit-CoFiD, a hybrid recommender system based on tweet sentiment analysis which performs a demographic filtering to use its outputs in an enhanced collaborative filtering enriched with a sentiment analysis component. The demographic filtering, based on a Deep Neural Network (DNN), allows to overcome the cold start problem. The sentiment analysis of Twitter data combined with the enhanced collaborative filtering makes recommendations more relevant and personalized. Experiments were conducted on 1M and 100K Movielens datasets. Our system was compared to other existing methods in terms of predictive accuracy, assessed using Root Mean Square Error (RMSE) and Mean Absolute Error (MAE) metrics. It yielded improved results, achieving lower RMSE and MAE rates of 0.4474 and 0.3186 on 100K Movielens dataset and of 0.3609 and 0.3315 on 1M Movielens dataset.","2024-06-27","2025-10-16 00:40:12","2025-10-16 00:40:13","2025-10-16 00:40:12","123","","1","14","","Soc. Netw. Anal. Min.","Twit-CoFiD","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\78UPQM83\Latrech et al. - 2024 - Twit-CoFiD a hybrid recommender system based on tweet sentiment analysis.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PMNCBBE4","journalArticle","2022","Poudel, Samin; Bikdash, Marwan","Collaborative Filtering system based on multi-level user clustering and aspect sentiment","Data and Information Management","","25439251","10.1016/j.dim.2022.100021","https://linkinghub.elsevier.com/retrieve/pii/S254392512200119X","A Collaborative Filtering (CF) method predicts an unknown overall rating of a target user towards an item based on the known overall ratings of the users that are similar to the target user. The similarity between two users is generally found based on their overall ratings toward items that both have reviewed. Two users may have similar overall ratings towards a given item, but different sentiments towards various aspects of the item. Understanding the effect of user sentiment towards speciﬁc aspects on overall ratings will sharpen estimates of user similarity as well as provide an rationale for making speciﬁc recommendations. We propose an Aspect-Sentiments based Multilevel Clustering of Users (ASMCU) approach that ﬁnds the multiple clusters of users similar to a speciﬁc user where similarity between users is based on various aspect sentiments. The proposed ASMCU CF approach can be used to predict both the overall ratings and the aspect-sentiments. The ASMCU based CF approach performed mostly better than and sometimes comparable to the eight well-established CF methods that rely only on the overall ratings or a particular aspect-sentiments. Note however that the ASMCU can also explicitly justify the recommendation in terms of aspect sentiments. We evaluated our approach using three datasets: One Hotel dataset and Two Beer datasets. The Hotel dataset involved six aspects and each Beer dataset has four aspects. Each dataset has one overall rating matrix and one sentiment tensor.","2022-10","2025-10-16 00:40:17","2025-10-16 00:40:19","2025-10-16 00:40:17","100021","","4","6","","Data and Information Management","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\JV4F5AVF\Poudel and Bikdash - 2022 - Collaborative Filtering system based on multi-level user clustering and aspect sentiment.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
