cell,domain,seed,rmse
A,Restaurant,42,0.6826492154198969
A,Restaurant,123,0.6821828980371224
A,Restaurant,456,0.6825235162864347
A,Restaurant,789,0.6845335197880391
A,Restaurant,1011,0.6788435668728457
A,E-commerce,42,0.6665254784363258
A,E-commerce,123,0.6729381666871649
A,E-commerce,456,0.6523301816619442
A,E-commerce,789,0.682806184606128
A,E-commerce,1011,0.8960569957625873
A,Hotel,42,0.6273943547492232
A,Hotel,123,0.6254316015518938
A,Hotel,456,0.628477258870388
A,Hotel,789,0.6301745100113078
A,Hotel,1011,0.6278307018975587
B',Restaurant,42,0.7038667914361799
B',Restaurant,123,0.7090651640506422
B',Restaurant,456,0.7034909221183029
B',Restaurant,789,0.7048511897994438
B',Restaurant,1011,0.7057110257401117
B',E-commerce,42,0.6632868409880907
B',E-commerce,123,0.6709569309514426
B',E-commerce,456,0.6550093511276285
B',E-commerce,789,0.676157479497788
B',E-commerce,1011,0.762644854647323
B',Hotel,42,0.6185436370965692
B',Hotel,123,0.6187844552823926
B',Hotel,456,0.6211691284772062
B',Hotel,789,0.6215633865532806
B',Hotel,1011,0.6186250388694948
E,Restaurant,42,0.7100613202919854
E,Restaurant,123,0.7140151385076996
E,Restaurant,456,0.7047703691246903
E,Restaurant,789,0.7093223387941897
E,Restaurant,1011,0.7055979202171453
E,E-commerce,42,0.6612168643709535
E,E-commerce,123,0.6692415106045783
E,E-commerce,456,0.658363620060022
E,E-commerce,789,0.6712823155858205
E,E-commerce,1011,0.7525296216938596
E,Hotel,42,0.6316743184358352
E,Hotel,123,0.6273025059448307
E,Hotel,456,0.6290528104733324
E,Hotel,789,0.6333152072064607
E,Hotel,1011,0.6227830437267156
F,Restaurant,42,0.7086187550466475
F,Restaurant,123,0.7082870306661571
F,Restaurant,456,0.7089743991643024
F,Restaurant,789,0.7108734043255941
F,Restaurant,1011,0.7034722329669337
F,E-commerce,42,0.6659255288551802
F,E-commerce,123,0.6778362861486821
F,E-commerce,456,0.6632764301490642
F,E-commerce,789,0.7031835951854059
F,E-commerce,1011,0.7490672308944657
F,Hotel,42,0.6327441657481429
F,Hotel,123,0.6274222334101717
F,Hotel,456,0.6287276889933315
F,Hotel,789,0.6366190635650367
F,Hotel,1011,0.626515458358841
F-,Restaurant,42,0.7734921786539213
F-,Restaurant,123,0.7735900038436989
F-,Restaurant,456,0.7761503180620317
F-,Restaurant,789,0.7803262651729582
F-,Restaurant,1011,0.7774463976437506
F-,E-commerce,42,0.7995170278201239
F-,E-commerce,123,0.8328765379650569
F-,E-commerce,456,0.7885037496332148
F-,E-commerce,789,0.7955110111639137
F-,E-commerce,1011,0.8773774291616616
F-,Hotel,42,0.6673087206565388
F-,Hotel,123,0.6691432941211246
F-,Hotel,456,0.6752997609552576
F-,Hotel,789,0.6709850321044514
F-,Hotel,1011,0.6678602869168385
