cell,cell_label,domain,n_seeds,mean,sd,best,worst,range,cv
A,A : keyword + tree (A2-IRM),Restaurant,5,0.6821465432808677,0.0020617601456233065,0.6788435668728457,0.6845335197880391,0.005689952915193364,0.003022459273497184
A,A : keyword + tree (A2-IRM),E-commerce,5,0.7141314014308301,0.10229954586874422,0.6523301816619442,0.8960569957625873,0.24372681410064312,0.14325031172663374
A,A : keyword + tree (A2-IRM),Hotel,5,0.6278616854160742,0.0017213914287228438,0.6254316015518938,0.6301745100113078,0.0047429084594139415,0.002741672996946938
B',B': keyword + AGF + global,Restaurant,5,0.7053970186289361,0.0022263546202849187,0.7034909221183029,0.7090651640506422,0.005574241932339352,0.003156172427000376
B',B': keyword + AGF + global,E-commerce,5,0.6856110914424545,0.04379827205679934,0.6550093511276285,0.762644854647323,0.10763550351969453,0.06388209380430578
B',B': keyword + AGF + global,Hotel,5,0.6197371292557887,0.0014962113610528602,0.6185436370965692,0.6215633865532806,0.0030197494567113514,0.002414267744212107
E,E : PyABSA + SA-BERT + AGF + global,Restaurant,5,0.7087534173871421,0.003726319450117433,0.7047703691246903,0.7140151385076996,0.009244769383009332,0.005257568229941961
E,E : PyABSA + SA-BERT + AGF + global,E-commerce,5,0.6825267864630468,0.039500965211270715,0.658363620060022,0.7525296216938596,0.09416600163383759,0.05787460066727999
E,E : PyABSA + SA-BERT + AGF + global,Hotel,5,0.6288255771574349,0.004097428950215479,0.6227830437267156,0.6333152072064607,0.010532163479745171,0.006516002368633986
F,F : + sequence  [TARGET],Restaurant,5,0.708045164433927,0.00274598004982121,0.7034722329669337,0.7108734043255941,0.007401171358660363,0.0038782554952078315
F,F : + sequence  [TARGET],E-commerce,5,0.6918578142465597,0.035662209900034686,0.6632764301490642,0.7490672308944657,0.08579080074540146,0.05154557651252548
F,F : + sequence  [TARGET],Hotel,5,0.6304057220151048,0.0042108515380463556,0.626515458358841,0.6366190635650367,0.010103605206195687,0.006679589653130499
F-,F-: tanpa token global,Restaurant,5,0.7762010326752722,0.0028603500967962865,0.7734921786539213,0.7803262651729582,0.0068340865190369415,0.0036850635033784207
F-,F-: tanpa token global,E-commerce,5,0.8187571511487942,0.03695107492189871,0.7885037496332148,0.8773774291616616,0.08887367952844683,0.04513068969236218
F-,F-: tanpa token global,Hotel,5,0.6701194189508421,0.0032226445485914338,0.6673087206565388,0.6752997609552576,0.007991040298718777,0.004809060083107123
