effect,domain,cells,rmse_a,rmse_b,delta,pct_change,n_significant_seeds,p_fisher
efek EKSTRAKSI PyABSA (ADIL),Restaurant,E - B',0.7087534173871421,0.7053970186289361,0.003356398758206036,0.4758169753438696,3/5,1.4003245578973724e-12
efek EKSTRAKSI PyABSA (ADIL),E-commerce,E - B',0.6825267864630468,0.6856110914424545,-0.0030843049794077038,-0.44986217666325184,4/5,1.089455820634031e-166
efek EKSTRAKSI PyABSA (ADIL),Hotel,E - B',0.6288255771574349,0.6197371292557887,0.009088447901646202,1.4665004681194531,5/5,4.3963301996009256e-52
efek representasi sequence,Restaurant,F - E,0.708045164433927,0.7087534173871421,-0.0007082529532151938,-0.09992938811162373,4/5,7.514167617734914e-16
efek representasi sequence,E-commerce,F - E,0.6918578142465597,0.6825267864630468,0.009331027783512913,1.367129901504329,4/5,8.15315390604345e-208
efek representasi sequence,Hotel,F - E,0.6304057220151048,0.6288255771574349,0.001580144857669885,0.25128508048492987,2/5,0.0006249715659614203
efek token sentimen global,Restaurant,F - F-,0.708045164433927,0.7762010326752722,-0.06815586824134523,-8.780697959965044,5/5,0.0
efek token sentimen global,E-commerce,F - F-,0.6918578142465597,0.8187571511487942,-0.12689933690223454,-15.499020280211623,5/5,0.0
efek token sentimen global,Hotel,F - F-,0.6304057220151048,0.6701194189508421,-0.03971369693573734,-5.92636115483927,5/5,9.521665477872835e-176
TOTAL vs A2-IRM (multi-faktor),Restaurant,F - A,0.708045164433927,0.6821465432808677,0.025898621153059298,3.7966359879941187,5/5,1.1620532096149595e-24
TOTAL vs A2-IRM (multi-faktor),E-commerce,F - A,0.6918578142465597,0.7141314014308301,-0.022273587184270416,-3.1189760231300805,4/5,0.0
TOTAL vs A2-IRM (multi-faktor),Hotel,F - A,0.6304057220151048,0.6278616854160742,0.0025440365990305747,0.4051906109455749,0/5,0.9873952581585266
