cell,cell_label,domain,n_seeds,rmse_mean,rmse_std
A,A : keyword + tree (A2-IRM),Restaurant,5,0.6821465432808677,0.0020617601456233065
A,A : keyword + tree (A2-IRM),E-commerce,5,0.7141314014308301,0.10229954586874422
A,A : keyword + tree (A2-IRM),Hotel,5,0.6278616854160742,0.0017213914287228438
B',B': keyword + AGF + global  [PEMBANDING ADIL],Restaurant,5,0.7053970186289361,0.0022263546202849187
B',B': keyword + AGF + global  [PEMBANDING ADIL],E-commerce,5,0.6856110914424545,0.04379827205679934
B',B': keyword + AGF + global  [PEMBANDING ADIL],Hotel,5,0.6197371292557887,0.0014962113610528602
E,E : PyABSA + SA-BERT + AGF + global,Restaurant,5,0.7087534173871421,0.003726319450117433
E,E : PyABSA + SA-BERT + AGF + global,E-commerce,5,0.6825267864630468,0.039500965211270715
E,E : PyABSA + SA-BERT + AGF + global,Hotel,5,0.6288255771574349,0.004097428950215479
F,F : + sequence identitas aspek  [TARGET],Restaurant,5,0.708045164433927,0.00274598004982121
F,F : + sequence identitas aspek  [TARGET],E-commerce,5,0.6918578142465597,0.035662209900034686
F,F : + sequence identitas aspek  [TARGET],Hotel,5,0.6304057220151048,0.0042108515380463556
F-,F-: F tanpa token global (ablasi),Restaurant,5,0.7762010326752722,0.0028603500967962865
F-,F-: F tanpa token global (ablasi),E-commerce,5,0.8187571511487942,0.03695107492189871
F-,F-: F tanpa token global (ablasi),Hotel,5,0.6701194189508421,0.0032226445485914338
