domain,representation,n_train,n_test,rmse,pearson_r,n_features
Restaurant,keyword_concat_conf (A2-IRM),5000,3000,0.7467797985810128,0.7738677880931395,8
Restaurant,keyword_rich9 (KONTROL like-for-like),5000,3000,0.8408166116287971,0.702371995684835,9
Restaurant,sabert_global_1dim,5000,3000,0.7582034193586891,0.765685032737042,1
Restaurant,pyabsa_rich9 (sel C/D0 lama),5000,3000,0.8041696329415435,0.7318073138575532,9
Restaurant,USULAN pyabsaext_sabert_mean1,5000,3000,0.8072526305112036,0.729068957795564,1
Restaurant,USULAN pyabsaext_sabert_rich9,5000,3000,0.8043269102724946,0.7313519309553524,9
Restaurant,STRUKTUR pyabsaext_sabert_clustered,5000,3000,0.9720252977699484,0.5655145395128119,8
Restaurant,STRUKTUR pyabsaext_sabert_bag200,5000,3000,1.0345600081108666,0.4856419125414099,400
E-commerce,keyword_concat_conf (A2-IRM),5000,3000,0.7164173935663302,0.8084035865408219,10
E-commerce,keyword_rich9 (KONTROL like-for-like),5000,3000,0.8106978814770676,0.7434273422718527,9
E-commerce,sabert_global_1dim,5000,3000,0.7121757690746219,0.810561257330104,1
E-commerce,pyabsa_rich9 (sel C/D0 lama),5000,3000,0.8779461786396016,0.6945230180051142,9
E-commerce,USULAN pyabsaext_sabert_mean1,5000,3000,0.8137508613357509,0.740752363128817,1
E-commerce,USULAN pyabsaext_sabert_rich9,5000,3000,0.8084070381764086,0.7447663486684991,9
E-commerce,STRUKTUR pyabsaext_sabert_clustered,5000,3000,1.015665709987799,0.5467662465230873,10
E-commerce,STRUKTUR pyabsaext_sabert_bag200,5000,3000,1.362318812050095,0.32003983613233317,400
Hotel,keyword_concat_conf (A2-IRM),5000,3000,0.6828022885837578,0.6571947832188566,12
Hotel,keyword_rich9 (KONTROL like-for-like),5000,3000,0.7238604783215492,0.6033801873239317,9
Hotel,sabert_global_1dim,5000,3000,0.7050006678608456,0.630026501176956,1
Hotel,pyabsa_rich9 (sel C/D0 lama),5000,3000,0.6874748305322455,0.652566226362837,9
Hotel,USULAN pyabsaext_sabert_mean1,5000,3000,0.7337943843467853,0.5892630649143454,1
Hotel,USULAN pyabsaext_sabert_rich9,5000,3000,0.7207454414432718,0.6075014212166263,9
Hotel,STRUKTUR pyabsaext_sabert_clustered,5000,3000,0.8130838275251904,0.44387318021612837,12
Hotel,STRUKTUR pyabsaext_sabert_bag200,5000,3000,0.865022505830409,0.39513833642693097,400
