domain,representation,rmse,pearson_r,n_features
Restaurant,keyword_concat_conf (palang absolut),0.7467797985810128,0.7738677880931395,8
Restaurant,keyword_rich9 (kontrol),0.8408166116287971,0.702371995684835,9
Restaurant,pyabsaext_sabert_rich9 (usulan),0.8043269102724946,0.7313519309553524,9
Restaurant,clustered [v0_zero],0.9720252977087779,0.5655145396287158,8
Restaurant,bag200 [v0_zero],1.0345600081107091,0.4856419125417052,400
Restaurant,clustered [v1_impute],0.8081743665762327,0.7282527783831074,8
Restaurant,bag200 [v1_impute],0.8398705911308614,0.7012120881146043,400
Restaurant,clustered [v2_impute_ind],0.8081744899073242,0.7282526665673851,12
Restaurant,bag200 [v2_impute_ind],0.8398742278529252,0.7012091285023998,600
E-commerce,keyword_concat_conf (palang absolut),0.7164173935663302,0.8084035865408219,10
E-commerce,keyword_rich9 (kontrol),0.8106978814770676,0.7434273422718527,9
E-commerce,pyabsaext_sabert_rich9 (usulan),0.8084070381764086,0.7447663486684991,9
E-commerce,clustered [v0_zero],1.0156657102375157,0.5467662462010432,10
E-commerce,bag200 [v0_zero],1.3623188120735048,0.3200398362136877,400
E-commerce,clustered [v1_impute],0.8097531978007393,0.7437620269818309,10
E-commerce,bag200 [v1_impute],0.8441491967858351,0.7194863036899163,400
E-commerce,clustered [v2_impute_ind],0.8097531157178429,0.7437620880846529,15
E-commerce,bag200 [v2_impute_ind],0.8441521299651508,0.7194843533100768,600
Hotel,keyword_concat_conf (palang absolut),0.6828022885837578,0.6571947832188566,12
Hotel,keyword_rich9 (kontrol),0.7238604783215492,0.6033801873239317,9
Hotel,pyabsaext_sabert_rich9 (usulan),0.7207454414432718,0.6075014212166263,9
Hotel,clustered [v0_zero],0.8130838274249959,0.4438731802459728,12
Hotel,bag200 [v0_zero],0.8650225058303632,0.3951383364275353,400
Hotel,clustered [v1_impute],0.732769085143638,0.5921253640764454,12
Hotel,bag200 [v1_impute],0.746871867459646,0.5808704611791842,400
Hotel,clustered [v2_impute_ind],0.7327690703785902,0.5921254807336284,18
Hotel,bag200 [v2_impute_ind],0.7468775439098412,0.5808655654800069,600
